Membership No  Date Joined  Active  
    46754      2016-1-4     no    
    77040      2018-7-21    no    
    16865      2018-3-4     no    
    39001      2018-1-16    no    
    83965      2016-3-11    no    
    38949      2017-7-13    no    
    81155      2015-5-13    no    
    46051      2020-7-24    no    
    96671      2018-6-11    no    
    15771      2017-5-11    no    
    57150      2015-4-18    no    
    63879      2020-6-13    no    
    18448      2020-5-11    no    
    32227      2017-9-4     no    
    70822      2015-4-15    no    
    86880      2015-10-23   no    
    96057      2020-8-4     no    
